# 6
# wavenum, a0, a1, a2, maxerr, temp(maxerr)
# fit to xsec vs ((T-100)/10)^2
 49168.5  8.385E-12  4.983E-10  4.162E-08  0.07  130.
 49169.0  7.724E-12  5.422E-10  4.241E-08  0.06  130.
 49169.5  6.969E-12  5.921E-10  4.332E-08  0.06  130.
 49170.0  6.188E-12  6.584E-10  4.407E-08  0.06  130.
 49170.5  5.311E-12  7.289E-10  4.512E-08  0.05  130.
 49171.0  5.052E-12  7.481E-10  4.726E-08  0.06  130.
 49171.5  4.053E-12  8.558E-10  4.809E-08  0.05  130.
 49172.0  4.159E-12  8.583E-10  5.119E-08  0.06  130.
 49172.5  3.150E-12  9.703E-10  5.274E-08  0.05  130.
 49173.0  2.620E-12  1.059E-09  5.507E-08  0.05  130.
 49173.5  1.983E-12  1.147E-09  5.810E-08  0.05  130.
 49174.0  7.964E-13  1.310E-09  6.070E-08  0.05  130.
 49174.5  6.571E-13  1.389E-09  6.517E-08  0.05  130.
 49175.0 -5.968E-13  1.578E-09  6.909E-08  0.05  130.
 49175.5 -8.323E-13  1.691E-09  7.550E-08  0.06  130.
 49176.0 -2.688E-12  1.978E-09  8.045E-08  0.05  130.
 49176.5 -3.347E-12  2.189E-09  8.867E-08  0.05  130.
 49177.0 -4.896E-12  2.517E-09  9.727E-08  0.05  130.
 49177.5 -6.819E-12  2.916E-09  1.085E-07  0.05  130.
 49178.0 -8.965E-12  3.391E-09  1.231E-07  0.05  130.
 49178.5 -1.091E-11  3.955E-09  1.422E-07  0.05  130.
 49179.0 -1.490E-11  4.815E-09  1.658E-07  0.05  130.
 49179.5 -1.867E-11  5.851E-09  1.996E-07  0.05  130.
 49180.0 -2.544E-11  7.437E-09  2.455E-07  0.05  130.
 49180.5 -3.480E-11  9.746E-09  3.149E-07  0.05  130.
 49181.0 -5.165E-11  1.374E-08  4.256E-07  0.04  130.
 49181.5 -1.273E-10  3.411E-08  1.012E-06  0.05  130.
 49182.0 -1.257E-10  3.173E-08  9.545E-07  0.04  130.
 49182.5 -2.243E-10  5.670E-08  1.719E-06  0.05  130.
 49183.0 -5.586E-10  1.419E-07  4.371E-06  0.05  130.
 49183.5 -4.160E-09  1.050E-06  3.084E-05  0.05  130.
 49184.0 -7.158E-09  1.816E-06  5.288E-05  0.05  130.
 49184.5 -5.971E-09  1.536E-06  4.276E-05  0.05  130.
 49185.0 -4.855E-10  1.266E-07  3.931E-06  0.05  130.
 49185.5 -2.767E-10  7.085E-08  2.106E-06  0.05  130.
 49186.0 -1.121E-10  2.920E-08  8.908E-07  0.05  130.
 49186.5 -6.982E-11  1.867E-08  5.655E-07  0.04  130.
 49187.0  4.711E-11  8.796E-09  4.584E-07  0.09  130.
 49187.5 -2.065E-11  9.183E-09  3.216E-07  0.06  130.
 49188.0 -2.298E-11  7.706E-09  2.556E-07  0.05  130.
 49188.5 -2.139E-11  6.583E-09  2.141E-07  0.05  130.
 49189.0 -1.858E-11  5.784E-09  1.864E-07  0.05  130.
 49189.5 -1.670E-11  5.290E-09  1.671E-07  0.05  130.
 49190.0 -1.523E-11  4.984E-09  1.552E-07  0.05  130.
 49190.5 -1.472E-11  4.899E-09  1.478E-07  0.05  130.
 49191.0 -1.502E-11  5.019E-09  1.450E-07  0.04  130.
 49191.5 -1.644E-11  5.393E-09  1.460E-07  0.04  130.
 49192.0 -1.827E-11  6.006E-09  1.534E-07  0.05  130.
 49192.5 -2.141E-11  7.023E-09  1.676E-07  0.05  130.
 49193.0 -2.640E-11  8.686E-09  1.926E-07  0.04  130.
 49193.5 -3.530E-11  1.150E-08  2.379E-07  0.05  130.
 49194.0 -5.387E-11  1.683E-08  3.204E-07  0.04  130.
 49194.5 -9.035E-11  2.804E-08  4.916E-07  0.04  130.
 49195.0 -1.803E-10  5.759E-08  9.883E-07  0.04  130.
 49195.5 -6.840E-10  2.143E-07  3.432E-06  0.04  130.
 49196.0 -2.881E-08  8.970E-06  1.464E-04  0.05  130.
 49196.5 -1.803E-09  5.777E-07  9.235E-06  0.04  130.
 49197.0 -1.449E-09  4.572E-07  7.176E-06  0.04  130.
