# 6
# wavenum, a0, a1, a2, maxerr, temp(maxerr)
# fit to xsec vs ((T-100)/10)^2
 49137.0  2.097E-10 -2.301E-08  1.738E-06  0.06  200.
 49137.5  2.019E-10 -1.816E-08  1.886E-06  0.05  200.
 49138.0  1.910E-10 -8.456E-09  2.292E-06  0.03  200.
 49138.5  1.692E-10  1.796E-08  3.815E-06  0.02  220.
 49139.0 -4.365E-11  2.304E-07  1.632E-05  0.01  200.
 49139.5 -8.441E-10  1.083E-06  6.085E-05  0.01  220.
 49140.0 -2.100E-09  2.151E-06  1.366E-04  0.01  220.
 49140.5  4.451E-10  1.059E-08  5.342E-06  0.01  200.
 49141.0  8.494E-10 -5.894E-08  4.131E-06  0.02  200.
 49141.5  1.918E-09 -1.610E-07  6.773E-06  0.01  200.
 49142.0  4.041E-09 -3.536E-07  1.333E-05  0.02  200.
 49142.5  3.039E-09 -2.649E-07  9.843E-06  0.02  200.
 49143.0  1.636E-09 -1.463E-07  5.637E-06  0.02  200.
 49143.5  1.524E-09 -1.399E-07  5.373E-06  0.02  200.
 49144.0  2.619E-09 -2.477E-07  9.341E-06  0.02  200.
 49144.5  6.270E-09 -6.008E-07  2.242E-05  0.03  200.
 49145.0  6.407E-09 -6.120E-07  2.274E-05  0.02  200.
 49145.5  3.093E-09 -2.955E-07  1.105E-05  0.03  200.
 49146.0  1.336E-09 -1.269E-07  4.821E-06  0.03  200.
 49146.5  7.354E-10 -6.870E-08  2.660E-06  0.02  200.
 49147.0  4.841E-10 -4.437E-08  1.758E-06  0.02  200.
 49147.5  3.616E-10 -3.269E-08  1.336E-06  0.02  200.
 49148.0  2.982E-10 -2.661E-08  1.115E-06  0.02  200.
 49148.5  2.660E-10 -2.320E-08  9.973E-07  0.02  200.
 49149.0  2.596E-10 -2.232E-08  9.828E-07  0.02  200.
 49149.5  2.735E-10 -2.255E-08  9.994E-07  0.02  200.
 49150.0  3.227E-10 -2.603E-08  1.162E-06  0.01  200.
 49150.5  4.398E-10 -3.445E-08  1.495E-06  0.02  200.
 49151.0  7.574E-10 -6.000E-08  2.531E-06  0.01  200.
 49151.5  1.471E-09 -1.181E-07  4.856E-06  0.02  200.
 49152.0  1.556E-09 -1.170E-07  5.556E-06  0.02  200.
 49152.5  2.642E-09 -1.537E-07  1.042E-05  0.02  200.
 49153.0  2.938E-09  2.213E-06  7.445E-05  0.01  200.
 49153.5  3.634E-09 -1.503E-07  1.623E-05  0.01  200.
 49154.0  1.416E-09  1.605E-07  1.142E-05  0.01  200.
 49154.5  8.768E-10 -5.142E-08  3.612E-06  0.01  200.
 49155.0  7.309E-10 -5.324E-08  2.627E-06  0.01  200.
 49155.5  1.008E-09 -8.003E-08  3.219E-06  0.01  200.
 49156.0  2.151E-09 -1.766E-07  6.380E-06  0.02  200.
 49156.5  1.912E-09 -1.588E-07  5.741E-06  0.01  200.
 49157.0  7.901E-10 -6.467E-08  2.415E-06  0.01  200.
 49157.5  4.504E-10 -3.715E-08  1.454E-06  0.02  200.
 49158.0  4.076E-10 -3.364E-08  1.311E-06  0.01  200.
 49158.5  5.364E-10 -4.435E-08  1.663E-06  0.01  200.
 49159.0  3.133E-10 -2.553E-08  9.822E-07  0.01  200.
 49159.5  1.748E-10 -1.434E-08  5.965E-07  0.02  200.
 49160.0  1.212E-10 -9.983E-09  4.414E-07  0.02  200.
 49160.5  9.416E-11 -7.834E-09  3.638E-07  0.02  200.
 49161.0  7.732E-11 -6.402E-09  3.073E-07  0.02  200.
 49161.5  6.601E-11 -5.544E-09  2.770E-07  0.02  200.
 49162.0  5.775E-11 -4.890E-09  2.522E-07  0.02  200.
 49162.5  5.140E-11 -4.417E-09  2.356E-07  0.02  200.
 49163.0  4.633E-11 -4.025E-09  2.211E-07  0.02  200.
 49163.5  4.176E-11 -3.564E-09  2.007E-07  0.02  200.
 49164.0  3.850E-11 -3.350E-09  1.937E-07  0.02  200.
 49164.5  3.567E-11 -3.159E-09  1.889E-07  0.03  200.
 49165.0  3.335E-11 -3.013E-09  1.853E-07  0.03  200.
 49165.5  3.105E-11 -2.798E-09  1.769E-07  0.03  200.
 49166.0  2.898E-11 -2.596E-09  1.691E-07  0.03  200.
 49166.5  2.750E-11 -2.518E-09  1.685E-07  0.03  200.
 49167.0  2.602E-11 -2.397E-09  1.655E-07  0.03  200.
 49167.5  2.490E-11 -2.349E-09  1.669E-07  0.03  200.
 49168.0  2.343E-11 -2.155E-09  1.589E-07  0.03  200.
 49168.5  2.253E-11 -2.117E-09  1.606E-07  0.03  200.
 49169.0  2.171E-11 -2.074E-09  1.625E-07  0.03  200.
 49169.5  2.076E-11 -1.977E-09  1.609E-07  0.03  200.
 49170.0  1.999E-11 -1.917E-09  1.621E-07  0.03  200.
 49170.5  1.935E-11 -1.866E-09  1.632E-07  0.04  200.
 49171.0  1.893E-11 -1.867E-09  1.681E-07  0.04  200.
 49171.5  1.838E-11 -1.823E-09  1.711E-07  0.04  200.
 49172.0  1.772E-11 -1.735E-09  1.723E-07  0.04  200.
 49172.5  1.757E-11 -1.773E-09  1.804E-07  0.04  200.
 49173.0  1.735E-11 -1.790E-09  1.892E-07  0.04  200.
 49173.5  1.694E-11 -1.734E-09  1.933E-07  0.04  200.
 49174.0  1.678E-11 -1.742E-09  2.030E-07  0.05  200.
 49174.5  1.681E-11 -1.796E-09  2.172E-07  0.04  200.
 49175.0  1.660E-11 -1.757E-09  2.264E-07  0.05  200.
 49175.5  1.658E-11 -1.764E-09  2.411E-07  0.04  200.
 49176.0  1.664E-11 -1.772E-09  2.573E-07  0.05  200.
 49176.5  1.681E-11 -1.804E-09  2.798E-07  0.04  220.
 49177.0  1.726E-11 -1.885E-09  3.084E-07  0.05  220.
 49177.5  1.761E-11 -1.906E-09  3.389E-07  0.05  220.
 49178.0  1.825E-11 -1.955E-09  3.776E-07  0.05  220.
 49178.5  1.904E-11 -2.038E-09  4.311E-07  0.05  220.
 49179.0  2.035E-11 -2.183E-09  5.013E-07  0.06  220.
 49179.5  2.197E-11 -2.320E-09  5.947E-07  0.06  220.
 49180.0  2.406E-11 -2.423E-09  7.194E-07  0.06  220.
 49180.5  2.698E-11 -2.556E-09  9.060E-07  0.05  220.
 49181.0  3.081E-11 -2.478E-09  1.199E-06  0.05  220.
 49181.5  2.820E-11  4.586E-09  2.383E-06  0.03  220.
 49182.0  4.321E-11 -5.859E-10  2.464E-06  0.05  220.
 49182.5  5.145E-11  4.513E-09  4.137E-06  0.04  220.
 49183.0  4.379E-11  3.124E-08  9.382E-06  0.03  220.
 49183.5 -3.550E-10  3.965E-07  5.882E-05  0.01  200.
 49184.0 -7.035E-10  7.252E-07  9.887E-05  0.01  220.
 49184.5 -4.525E-10  5.907E-07  8.312E-05  0.01  220.
 49185.0  2.055E-10 -1.327E-08  1.073E-05  0.05  220.
 49185.5  1.669E-10 -1.916E-08  6.487E-06  0.07  220.
 49186.0  1.271E-10 -2.145E-08  3.423E-06  0.10  220.
 49186.5  1.098E-10 -1.861E-08  2.407E-06  0.10  220.
 49187.0  3.403E-10 -4.928E-08  3.239E-06  0.09  200.
 49187.5  1.167E-10 -2.053E-08  1.827E-06  0.12  220.
 49188.0  9.559E-11 -1.929E-08  1.664E-06  0.18  220.
 49188.5  1.065E-10 -2.378E-08  1.834E-06  0.28  220.
 49189.0  1.383E-10 -3.210E-08  2.226E-06  0.38  220.
 49189.5  1.544E-10 -3.619E-08  2.404E-06  0.44  220.
 49190.0  1.352E-10 -3.154E-08  2.127E-06  0.42  220.
 49190.5  1.006E-10 -2.304E-08  1.654E-06  0.35  220.
 49191.0  7.354E-11 -1.626E-08  1.287E-06  0.27  220.
 49191.5  5.815E-11 -1.225E-08  1.086E-06  0.22  220.
 49192.0  5.095E-11 -1.018E-08  1.011E-06  0.18  220.
 49192.5  5.080E-11 -9.818E-09  1.058E-06  0.17  220.
 49193.0  5.711E-11 -1.088E-08  1.229E-06  0.16  220.
 49193.5  7.251E-11 -1.389E-08  1.587E-06  0.17  220.
 49194.0  9.461E-11 -1.774E-08  2.146E-06  0.16  220.
 49194.5  1.041E-10 -1.616E-08  2.796E-06  0.12  220.
 49195.0  8.239E-11  1.324E-09  3.822E-06  0.07  220.
 49195.5 -2.389E-11  9.074E-08  9.106E-06  0.02  220.
 49196.0 -5.798E-09  5.048E-06  3.132E-04  0.01  200.
